ANO,FILTRO,CONTEUDO,CHAVE,VALOR
2022,Região,Nascim p/resid.mãe,TOTAL,2.561.922
2022,Região,Nascim p/resid.mãe,Norte,289.158
2022,Região,Nascim p/resid.mãe,Nordeste,708.975
2022,Região,Nascim p/resid.mãe,Sudeste,979.681
2022,Região,Nascim p/resid.mãe,Sul,359.781
2022,Região,Nascim p/resid.mãe,Centro-Oeste,224.327
2021,Região,Nascim p/resid.mãe,TOTAL,2.677.101
2021,Região,Nascim p/resid.mãe,Norte,309.362
2021,Região,Nascim p/resid.mãe,Nordeste,766.074
2021,Região,Nascim p/resid.mãe,Sudeste,1.009.734
2021,Região,Nascim p/resid.mãe,Sul,362.921
2021,Região,Nascim p/resid.mãe,Centro-Oeste,229.010
2020,Região,Nascim p/resid.mãe,TOTAL,2.730.145
2020,Região,Nascim p/resid.mãe,Norte,301.635
2020,Região,Nascim p/resid.mãe,Nordeste,770.688
2020,Região,Nascim p/resid.mãe,Sudeste,1.052.399
2020,Região,Nascim p/resid.mãe,Sul,374.949
2020,Região,Nascim p/resid.mãe,Centro-Oeste,230.474
2019,Região,Nascim p/resid.mãe,TOTAL,2.849.146
2019,Região,Nascim p/resid.mãe,Norte,313.696
2019,Região,Nascim p/resid.mãe,Nordeste,805.275
2019,Região,Nascim p/resid.mãe,Sudeste,1.102.997
2019,Região,Nascim p/resid.mãe,Sul,386.097
2019,Região,Nascim p/resid.mãe,Centro-Oeste,241.081
2018,Região,Nascim p/resid.mãe,TOTAL,2.944.932
2018,Região,Nascim p/resid.mãe,Norte,319.228
2018,Região,Nascim p/resid.mãe,Nordeste,836.850
2018,Região,Nascim p/resid.mãe,Sudeste,1.147.006
2018,Região,Nascim p/resid.mãe,Sul,395.857
2018,Região,Nascim p/resid.mãe,Centro-Oeste,245.991
2017,Região,Nascim p/resid.mãe,TOTAL,2.923.535
2017,Região,Nascim p/resid.mãe,Norte,312.682
2017,Região,Nascim p/resid.mãe,Nordeste,817.311
2017,Região,Nascim p/resid.mãe,Sudeste,1.151.832
2017,Região,Nascim p/resid.mãe,Sul,397.604
2017,Região,Nascim p/resid.mãe,Centro-Oeste,244.106
2016,Região,Nascim p/resid.mãe,TOTAL,2.857.800
2016,Região,Nascim p/resid.mãe,Norte,307.526
2016,Região,Nascim p/resid.mãe,Nordeste,796.119
2016,Região,Nascim p/resid.mãe,Sudeste,1.127.499
2016,Região,Nascim p/resid.mãe,Sul,391.790
2016,Região,Nascim p/resid.mãe,Centro-Oeste,234.866
2015,Região,Nascim p/resid.mãe,TOTAL,3.017.668
2015,Região,Nascim p/resid.mãe,Norte,320.924
2015,Região,Nascim p/resid.mãe,Nordeste,846.374
2015,Região,Nascim p/resid.mãe,Sudeste,1.196.232
2015,Região,Nascim p/resid.mãe,Sul,406.529
2015,Região,Nascim p/resid.mãe,Centro-Oeste,247.609
2014,Região,Nascim p/resid.mãe,TOTAL,2.979.259
2014,Região,Nascim p/resid.mãe,Norte,321.682
2014,Região,Nascim p/resid.mãe,Nordeste,833.090
2014,Região,Nascim p/resid.mãe,Sudeste,1.182.949
2014,Região,Nascim p/resid.mãe,Sul,396.462
2014,Região,Nascim p/resid.mãe,Centro-Oeste,245.076
2013,Região,Nascim p/resid.mãe,TOTAL,2.904.027
2013,Região,Nascim p/resid.mãe,Norte,313.272
2013,Região,Nascim p/resid.mãe,Nordeste,821.458
2013,Região,Nascim p/resid.mãe,Sudeste,1.147.627
2013,Região,Nascim p/resid.mãe,Sul,386.983
2013,Região,Nascim p/resid.mãe,Centro-Oeste,234.687
2012,Região,Nascim p/resid.mãe,TOTAL,2.905.789
2012,Região,Nascim p/resid.mãe,Norte,308.375
2012,Região,Nascim p/resid.mãe,Nordeste,832.631
2012,Região,Nascim p/resid.mãe,Sudeste,1.152.846
2012,Região,Nascim p/resid.mãe,Sul,381.658
2012,Região,Nascim p/resid.mãe,Centro-Oeste,230.279
2011,Região,Nascim p/resid.mãe,TOTAL,2.913.160
2011,Região,Nascim p/resid.mãe,Norte,313.745
2011,Região,Nascim p/resid.mãe,Nordeste,851.004
2011,Região,Nascim p/resid.mãe,Sudeste,1.143.741
2011,Região,Nascim p/resid.mãe,Sul,378.093
2011,Região,Nascim p/resid.mãe,Centro-Oeste,226.577
2010,Região,Nascim p/resid.mãe,TOTAL,2.861.868
2010,Região,Nascim p/resid.mãe,Norte,306.422
2010,Região,Nascim p/resid.mãe,Nordeste,841.160
2010,Região,Nascim p/resid.mãe,Sudeste,1.123.593
2010,Região,Nascim p/resid.mãe,Sul,369.905
2010,Região,Nascim p/resid.mãe,Centro-Oeste,220.788
2009,Região,Nascim p/resid.mãe,TOTAL,2.881.581
2009,Região,Nascim p/resid.mãe,Norte,310.726
2009,Região,Nascim p/resid.mãe,Nordeste,865.098
2009,Região,Nascim p/resid.mãe,Sudeste,1.119.231
2009,Região,Nascim p/resid.mãe,Sul,366.358
2009,Região,Nascim p/resid.mãe,Centro-Oeste,220.168
2008,Região,Nascim p/resid.mãe,TOTAL,2.934.828
2008,Região,Nascim p/resid.mãe,Norte,321.998
2008,Região,Nascim p/resid.mãe,Nordeste,888.268
2008,Região,Nascim p/resid.mãe,Sudeste,1.130.407
2008,Região,Nascim p/resid.mãe,Sul,371.497
2008,Região,Nascim p/resid.mãe,Centro-Oeste,222.658
2007,Região,Nascim p/resid.mãe,TOTAL,2.891.328
2007,Região,Nascim p/resid.mãe,Norte,311.813
2007,Região,Nascim p/resid.mãe,Nordeste,878.588
2007,Região,Nascim p/resid.mãe,Sudeste,1.122.809
2007,Região,Nascim p/resid.mãe,Sul,362.858
2007,Região,Nascim p/resid.mãe,Centro-Oeste,215.260
2006,Região,Nascim p/resid.mãe,TOTAL,2.944.928
2006,Região,Nascim p/resid.mãe,Norte,317.493
2006,Região,Nascim p/resid.mãe,Nordeste,887.306
2006,Região,Nascim p/resid.mãe,Sudeste,1.139.395
2006,Região,Nascim p/resid.mãe,Sul,379.062
2006,Região,Nascim p/resid.mãe,Centro-Oeste,221.672
2005,Região,Nascim p/resid.mãe,TOTAL,3.035.096
2005,Região,Nascim p/resid.mãe,Norte,314.858
2005,Região,Nascim p/resid.mãe,Nordeste,924.983
2005,Região,Nascim p/resid.mãe,Sudeste,1.171.841
2005,Região,Nascim p/resid.mãe,Sul,392.107
2005,Região,Nascim p/resid.mãe,Centro-Oeste,231.307
